;outstanding_balance;age;dslp;dsldc;antiquity;feature;installment_amount;target
0;4600.0;37;61;57;1600;2.6666666666666665;300.0;1
1;3800.0;41;61;61;300;0.3333333333333333;300.0;0
2;2900.0;38;62;58;3100;0.8;120.0;1
3;63200.0;60;2834;80;2800;1.0;200.0;0
4;600.0;47;96;67;100;2.0;100.0;0
5;2000.0;72;68;92;200;1.5;110.0;1
6;6400.0;63;80;83;3200;1.0;150.0;0
7;1500.0;50;86;70;2300;0.52;65.0;1
8;5600.0;61;84;81;2900;0.5;150.0;1
9;1200.0;68;55;88;700;0.6666666666666666;300.0;1
10;4800.0;60;126;80;100;1.0;225.0;0
11;3400.0;58;126;78;100;1.0;200.0;0
12;2800.0;57;156;77;100;1.0;160.0;0
13;5500.0;48;122;68;100;1.0;200.0;0
14;2500.0;45;81;65;100;1.0;150.0;0
15;4500.0;61;290;81;500;0.5;125.0;0
16;2400.0;43;367;63;300;1.0;135.0;0
17;2200.0;50;58;70;100;1.0;500.0;0
18;2100.0;56;71;76;2000;1.2727272727272727;150.0;0
19;31900.0;56;58;76;2500;1.0;250.0;1
20;600.0;59;63;79;300;0.38461538461538464;75.0;1
21;4000.0;48;67;68;100;1.0;150.0;1
22;3100.0;51;186;71;100;1.0;200.0;1
23;3200.0;46;59;66;400;2.0;120.0;0
24;1200.0;61;61;81;3200;1.0;150.0;0
25;2700.0;50;128;70;400;9.0;170.0;0
26;2000.0;61;64;81;2500;0.5333333333333333;150.0;0
27;1400.0;34;92;54;1100;0.8;180.0;0
28;1900.0;37;115;57;100;1.0;150.0;0
29;14200.0;66;628;86;700;2.0;350.0;0
30;2000.0;31;142;51;700;3.0;170.0;0
31;700.0;58;515;78;400;1.0;100.0;1
32;600.0;67;82;87;2800;0.8666666666666667;70.0;0
33;2900.0;49;61;69;700;1.3333333333333333;250.0;0
34;1400.0;47;64;67;900;1.75;100.0;1
35;5500.0;61;75;81;2400;0.7777777777777778;100.0;1
36;1100.0;58;59;78;400;0.8;100.0;0
37;1000.0;51;62;71;1200;0.9444444444444444;60.0;1
38;6300.0;50;61;70;600;2.5;175.0;1
39;1900.0;53;61;73;600;2.5;250.0;1
40;1700.0;49;62;69;500;1.0;150.0;0
41;1800.0;44;62;64;100;0.75;200.0;1
42;2600.0;57;131;77;700;3.0;150.0;1
43;14500.0;50;53;70;2300;1.0;405.0;0
44;1700.0;47;138;67;400;4.0;160.0;1
45;3500.0;55;55;75;100;1.0;200.0;0
46;2500.0;53;264;73;700;1.0;12.0;0
47;1200.0;69;54;89;400;3.0;350.0;0
48;9800.0;43;62;63;1800;0.8235294117647058;150.0;1
49;1300.0;35;61;55;700;1.5;125.0;0
50;700.0;54;64;74;3000;0.5;50.0;1
51;3300.0;53;208;73;200;1.0;100.0;0
52;800.0;63;62;83;1300;0.8333333333333334;120.0;1
53;1500.0;58;62;78;300;0.875;150.0;0
54;700.0;61;62;81;2000;0.8;70.0;0
55;600.0;54;61;74;1700;0.6470588235294118;50.0;0
56;55100.0;56;61;76;2100;0.6428571428571429;200.0;1
57;3100.0;56;70;76;100;0.6666666666666666;250.0;0
58;1300.0;47;132;67;100;1.0;140.0;0
59;2200.0;61;51;81;1500;0.6428571428571429;120.0;0
60;800.0;47;71;67;1300;0.8235294117647058;80.0;1
61;700.0;61;70;81;2800;0.68;35.0;1
62;1200.0;52;427;72;2200;0.5;120.0;0
63;1200.0;66;61;86;1200;1.3076923076923077;110.0;0
64;900.0;69;62;89;500;0.5357142857142857;100.0;1
65;2900.0;56;63;76;2600;0.6;150.0;0
66;1300.0;73;86;93;700;0.5;120.0;0
67;800.0;39;274;59;900;1.0;150.0;0
68;2800.0;46;918;66;800;1.0;180.0;1
69;1000.0;53;92;73;200;0.2857142857142857;100.0;0
70;3500.0;59;370;79;600;2.0;100.0;1
71;2600.0;48;52;68;500;0.6;250.0;0
72;4100.0;62;59;82;500;1.3333333333333333;250.0;0
73;1400.0;41;58;61;500;0.6666666666666666;130.0;0
74;7700.0;56;60;76;2700;0.8333333333333334;280.0;0
75;1200.0;53;58;73;500;1.0;250.0;0
76;3700.0;43;210;63;200;1.0;170.0;0
77;1500.0;69;365;89;500;1.0;100.0;0
78;20700.0;51;65;71;1700;0.7407407407407407;150.0;0
79;19600.0;50;63;70;400;1.6666666666666667;250.0;1
80;7500.0;41;67;61;2100;1.75;150.0;0
